# hs_truth_z, event_#
25.4769,0.0000
-23.7335,1.0000
52.4755,2.0000
-23.2639,3.0000
-23.2673,4.0000
10.1720,5.0000
-48.1749,6.0000
1.2658,7.0000
-70.8957,8.0000
4.4191,9.0000
-59.6128,10.0000
-16.1429,11.0000
-11.5802,12.0000
24.4558,13.0000
129.8838,14.0000
-51.1163,15.0000
2.9300,16.0000
-17.5283,17.0000
-39.9839,18.0000
-50.4643,19.0000
-3.8961,20.0000
-9.5834,21.0000
-39.8513,22.0000
-31.0692,23.0000
14.2067,24.0000
-2.6122,25.0000
-63.7821,26.0000
-69.1328,27.0000
17.0541,28.0000
68.1105,29.0000
19.7865,30.0000
-31.1622,31.0000
7.2638,32.0000
7.5925,33.0000
-46.3481,34.0000
3.2253,35.0000
-17.5628,36.0000
-68.6941,37.0000
9.8574,38.0000
3.8740,39.0000
-12.8538,40.0000
30.4527,41.0000
10.6657,42.0000
12.5606,43.0000
13.8877,44.0000
-36.8286,45.0000
-15.5979,46.0000
44.3403,47.0000
5.6288,48.0000
12.2513,49.0000
-1.2237,50.0000
-28.1654,51.0000
12.6865,52.0000
-98.1508,53.0000
25.6734,54.0000
64.9841,55.0000
6.6286,56.0000
43.2657,57.0000
83.3706,58.0000
-13.9391,59.0000
-22.1495,60.0000
48.7163,61.0000
55.3410,62.0000
-40.7100,63.0000
-34.0021,64.0000
21.7690,65.0000
44.8701,66.0000
62.7784,67.0000
37.0789,68.0000
38.1396,69.0000
0.9772,70.0000
-1.1707,71.0000
11.7660,72.0000
9.3997,73.0000
42.4226,74.0000
-3.0459,75.0000
-10.7363,76.0000
20.4949,77.0000
-90.3963,78.0000
100.0632,79.0000
78.2825,80.0000
36.1433,81.0000
-6.0001,82.0000
-44.0277,83.0000
-50.0716,84.0000
69.5765,85.0000
7.4480,86.0000
41.8838,87.0000
51.4211,88.0000
28.0347,89.0000
-71.9297,90.0000
4.1910,91.0000
-13.8657,92.0000
-10.9886,93.0000
-25.3104,94.0000
118.3409,95.0000
23.9382,96.0000
-8.5527,97.0000
16.2003,98.0000
-47.4319,99.0000
20.0359,100.0000
0.3371,101.0000
130.0098,102.0000
44.6278,103.0000
28.0908,104.0000
82.8393,105.0000
-54.5101,106.0000
-36.7362,107.0000
29.9310,108.0000
-12.1788,109.0000
8.2269,110.0000
-18.8848,111.0000
114.9536,112.0000
-19.1062,113.0000
1.8582,114.0000
-36.6922,115.0000
18.4313,116.0000
-36.3556,117.0000
-57.3877,118.0000
-67.5974,119.0000
12.0282,120.0000
81.0935,121.0000
-48.9415,122.0000
31.2671,123.0000
-15.0301,124.0000
-111.1211,125.0000
8.0803,126.0000
22.8453,127.0000
49.2687,128.0000
-39.5050,129.0000
-8.8605,130.0000
-33.5024,131.0000
21.1837,132.0000
31.6382,133.0000
-105.8281,134.0000
1.2276,135.0000
40.9511,136.0000
-79.3615,137.0000
-9.6807,138.0000
-20.3843,139.0000
-81.8982,140.0000
-79.3889,141.0000
69.2875,142.0000
-21.9714,143.0000
79.1311,144.0000
16.5215,145.0000
52.7966,146.0000
11.3479,147.0000
-65.1283,148.0000
99.0272,149.0000
26.0151,150.0000
-12.1862,151.0000
-9.6197,152.0000
-66.5656,153.0000
-46.8583,154.0000
64.4059,155.0000
-38.3978,156.0000
-17.8879,157.0000
6.5325,158.0000
36.1805,159.0000
-29.6738,160.0000
40.0922,161.0000
84.9697,162.0000
92.5287,163.0000
-35.1881,164.0000
95.5769,165.0000
-16.3578,166.0000
-17.8161,167.0000
2.9831,168.0000
23.2469,169.0000
40.6797,170.0000
23.5928,171.0000
43.4788,172.0000
-3.6461,173.0000
-20.9945,174.0000
14.6807,175.0000
-8.9200,176.0000
20.3145,177.0000
-67.2543,178.0000
-25.3374,179.0000
15.9813,180.0000
0.1007,181.0000
-72.2747,182.0000
-9.7986,183.0000
6.0221,184.0000
-19.0446,185.0000
-28.5637,186.0000
26.5270,187.0000
44.1846,188.0000
51.2049,189.0000
26.7986,190.0000
-99.0449,191.0000
32.0885,192.0000
-10.3207,193.0000
18.9352,194.0000
-40.1684,195.0000
-78.0242,196.0000
79.5471,197.0000
-47.8094,198.0000
51.8412,199.0000
42.2988,200.0000
-28.2050,201.0000
10.4676,202.0000
22.6493,203.0000
24.3994,204.0000
-80.3726,205.0000
69.4617,206.0000
15.0698,207.0000
46.6184,208.0000
-11.4340,209.0000
6.0905,210.0000
60.1108,211.0000
8.5590,212.0000
-13.7710,213.0000
-43.0032,214.0000
-77.8402,215.0000
4.8646,216.0000
33.0661,217.0000
66.1193,218.0000
33.9467,219.0000
6.5476,220.0000
-7.3088,221.0000
-88.9225,222.0000
31.7715,223.0000
18.9853,224.0000
59.8873,225.0000
-19.1444,226.0000
14.2916,227.0000
-26.5816,228.0000
32.7280,229.0000
34.1977,230.0000
-38.1941,231.0000
18.1909,232.0000
-5.4524,233.0000
-29.0225,234.0000
-7.6073,235.0000
-9.2453,236.0000
82.3498,237.0000
-6.7448,238.0000
80.3481,239.0000
-14.0682,240.0000
-24.2653,241.0000
-13.8955,242.0000
20.1733,243.0000
-23.7033,244.0000
33.1554,245.0000
1.8470,246.0000
21.5317,247.0000
75.1685,248.0000
9.1449,249.0000
74.2621,250.0000
-10.5521,251.0000
-14.3507,252.0000
-4.4126,253.0000
-0.0120,254.0000
-48.9754,255.0000
-42.5698,256.0000
-61.0781,257.0000
-132.0049,258.0000
-6.4105,259.0000
35.7400,260.0000
21.6376,261.0000
38.9607,262.0000
90.5980,263.0000
-29.5830,264.0000
-15.3639,265.0000
-12.3743,266.0000
-38.1373,267.0000
89.4622,268.0000
-20.4080,269.0000
54.7339,270.0000
-36.7421,271.0000
-0.7564,272.0000
-18.6530,273.0000
-48.4953,274.0000
-53.8147,275.0000
-18.6373,276.0000
-46.7334,277.0000
-12.2663,278.0000
-53.1948,279.0000
-27.8761,280.0000
-28.3671,281.0000
-2.0883,282.0000
76.6799,283.0000
58.3104,284.0000
95.8428,285.0000
-25.7113,286.0000
-72.7003,287.0000
11.5173,288.0000
1.2446,289.0000
-28.2365,290.0000
11.2759,291.0000
-47.4071,292.0000
-76.4112,293.0000
12.3043,294.0000
-25.2974,295.0000
16.3269,296.0000
-27.4256,297.0000
-69.3590,298.0000
-49.0209,299.0000
-3.8133,300.0000
-79.4471,301.0000
15.9791,302.0000
21.8466,303.0000
55.1172,304.0000
6.0540,305.0000
-15.9016,306.0000
-14.1053,307.0000
30.0737,308.0000
-7.3177,309.0000
-92.7730,310.0000
7.3715,311.0000
-17.5084,312.0000
-26.9230,313.0000
34.3669,314.0000
21.5219,315.0000
-60.4108,316.0000
-61.3240,317.0000
-61.9120,318.0000
-65.8999,319.0000
-30.6210,320.0000
-20.9282,321.0000
-3.4416,322.0000
-43.8197,323.0000
-36.7147,324.0000
25.4826,325.0000
-20.2096,326.0000
52.1313,327.0000
-29.7445,328.0000
-33.3648,329.0000
-43.0425,330.0000
8.2899,331.0000
12.1842,332.0000
51.8084,333.0000
-66.1672,334.0000
-12.8831,335.0000
31.3286,336.0000
-32.9556,337.0000
-3.6964,338.0000
-55.1197,339.0000
-13.1898,340.0000
-4.1465,341.0000
-34.0669,342.0000
3.2634,343.0000
-1.9780,344.0000
-20.2493,345.0000
17.9415,346.0000
-78.8079,347.0000
-17.8817,348.0000
14.7211,349.0000
-3.4171,350.0000
26.1705,351.0000
-21.6818,352.0000
6.6381,353.0000
-11.5805,354.0000
27.8821,355.0000
-10.2122,356.0000
-43.4863,357.0000
13.8802,358.0000
-11.7384,359.0000
40.8911,360.0000
-18.2808,361.0000
-14.0426,362.0000
-19.2650,363.0000
-14.4819,364.0000
18.1951,365.0000
11.2717,366.0000
14.5149,367.0000
107.9464,368.0000
112.5471,369.0000
-17.9609,370.0000
-90.2009,371.0000
-5.4939,372.0000
-7.7120,373.0000
58.7323,374.0000
-16.9242,375.0000
2.2301,376.0000
93.6950,377.0000
-9.7629,378.0000
73.5301,379.0000
-50.1589,380.0000
37.3939,381.0000
-4.3901,382.0000
-36.2717,383.0000
5.1713,384.0000
85.0614,385.0000
-11.4192,386.0000
-71.2517,387.0000
76.4667,388.0000
-24.0662,389.0000
31.4618,390.0000
-69.2640,391.0000
21.4055,392.0000
-24.5598,393.0000
78.9143,394.0000
1.0661,395.0000
-18.8603,396.0000
-5.5465,397.0000
1.0348,398.0000
65.4327,399.0000
-52.6414,400.0000
34.8195,401.0000
55.9173,402.0000
123.4684,403.0000
-16.6940,404.0000
31.7921,405.0000
-26.3950,406.0000
-128.1296,407.0000
34.1931,408.0000
-48.5415,409.0000
56.5440,410.0000
-89.6803,411.0000
33.0962,412.0000
-25.0947,413.0000
-69.9852,414.0000
-55.0083,415.0000
-39.2242,416.0000
-14.9754,417.0000
41.5826,418.0000
-38.4703,419.0000
1.7464,420.0000
-33.0253,421.0000
-62.7662,422.0000
37.2372,423.0000
31.9172,424.0000
-0.4198,425.0000
-11.6802,426.0000
62.7039,427.0000
2.2630,428.0000
27.7117,429.0000
-58.0707,430.0000
-9.1950,431.0000
61.0766,432.0000
67.9091,433.0000
-12.8573,434.0000
67.8049,435.0000
-53.5304,436.0000
-36.4287,437.0000
-72.8652,438.0000
19.7938,439.0000
-27.6259,440.0000
62.3340,441.0000
-69.5355,442.0000
-57.3233,443.0000
42.2543,444.0000
-75.2222,445.0000
21.1148,446.0000
-61.7282,447.0000
41.3923,448.0000
-25.4853,449.0000
-14.2375,450.0000
-18.6287,451.0000
-14.7570,452.0000
36.3701,453.0000
-4.8234,454.0000
25.0230,455.0000
-31.9932,456.0000
-40.6149,457.0000
-27.4553,458.0000
18.1507,459.0000
52.0587,460.0000
22.2230,461.0000
-49.3210,462.0000
-36.6153,463.0000
-30.8929,464.0000
-38.6144,465.0000
-81.9559,466.0000
39.3015,467.0000
-26.8988,468.0000
-48.5040,469.0000
41.4122,470.0000
56.7709,471.0000
38.4450,472.0000
11.1312,473.0000
33.7645,474.0000
-29.6838,475.0000
22.8645,476.0000
35.1156,477.0000
19.8357,478.0000
-5.0494,479.0000
25.4793,480.0000
23.1917,481.0000
24.8552,482.0000
49.6463,483.0000
-32.0206,484.0000
26.6021,485.0000
32.3733,486.0000
41.9719,487.0000
36.4723,488.0000
-11.2184,489.0000
-18.4526,490.0000
23.1465,491.0000
9.8632,492.0000
40.1978,493.0000
-21.8833,494.0000
65.9180,495.0000
18.8193,496.0000
9.5718,497.0000
-49.1717,498.0000
-11.7226,499.0000
-60.7599,500.0000
87.3292,501.0000
-14.7139,502.0000
1.2388,503.0000
-73.5612,504.0000
-46.2680,505.0000
11.5710,506.0000
-42.5152,507.0000
38.2218,508.0000
-11.3582,509.0000
32.7622,510.0000
-33.0257,511.0000
-69.4287,512.0000
72.0850,513.0000
-5.6139,514.0000
-10.4067,515.0000
-57.1739,516.0000
-19.6767,517.0000
-14.2782,518.0000
-13.8394,519.0000
-30.3472,520.0000
-15.1991,521.0000
0.6088,522.0000
119.6467,523.0000
76.3696,524.0000
-24.1491,525.0000
37.6998,526.0000
56.0876,527.0000
124.1216,528.0000
-48.9179,529.0000
55.6354,530.0000
-9.1175,531.0000
45.7469,532.0000
-22.9181,533.0000
16.7312,534.0000
-41.0879,535.0000
30.3477,536.0000
-4.6539,537.0000
54.2120,538.0000
-46.8393,539.0000
34.9196,540.0000
-8.8038,541.0000
22.0297,542.0000
74.0442,543.0000
-36.3643,544.0000
-36.5512,545.0000
12.3867,546.0000
31.9015,547.0000
-16.8936,548.0000
-10.1890,549.0000
4.2193,550.0000
55.3853,551.0000
4.4684,552.0000
-5.1786,553.0000
-30.0932,554.0000
8.4131,555.0000
9.2676,556.0000
-22.6039,557.0000
4.8088,558.0000
-39.0162,559.0000
-28.1350,560.0000
68.9610,561.0000
10.3141,562.0000
-28.9319,563.0000
-46.9945,564.0000
15.4286,565.0000
78.4073,566.0000
15.4573,567.0000
-52.5773,568.0000
-33.5615,569.0000
-21.5568,570.0000
-18.5307,571.0000
79.4905,572.0000
52.7974,573.0000
-12.5175,574.0000
-32.4771,575.0000
-19.8214,576.0000
35.5574,577.0000
21.9022,578.0000
20.3721,579.0000
-40.3535,580.0000
-22.2530,581.0000
-23.0729,582.0000
11.1008,583.0000
-45.1196,584.0000
-24.3606,585.0000
-48.0593,586.0000
40.6758,587.0000
-35.8279,588.0000
-87.4494,589.0000
37.2316,590.0000
-51.1013,591.0000
-61.4664,592.0000
-1.6220,593.0000
30.8134,594.0000
19.9206,595.0000
-50.7942,596.0000
74.4461,597.0000
16.6531,598.0000
35.7288,599.0000
30.2186,600.0000
81.1197,601.0000
17.5338,602.0000
12.3406,603.0000
39.6502,604.0000
-73.9410,605.0000
-23.6622,606.0000
63.1386,607.0000
-10.2881,608.0000
-2.3457,609.0000
63.3424,610.0000
-27.4666,611.0000
-96.0911,612.0000
46.0809,613.0000
44.1129,614.0000
-9.8008,615.0000
35.6349,616.0000
-61.0294,617.0000
-50.4312,618.0000
50.4960,619.0000
-11.4922,620.0000
-4.8410,621.0000
-10.3141,622.0000
33.4229,623.0000
44.5308,624.0000
-19.5702,625.0000
-22.8777,626.0000
-15.2522,627.0000
-55.7154,628.0000
11.7317,629.0000
42.6904,630.0000
57.7757,631.0000
-16.0269,632.0000
14.3045,633.0000
-38.9234,634.0000
-59.2378,635.0000
-18.9830,636.0000
111.0671,637.0000
-126.9276,638.0000
-50.2169,639.0000
-11.6303,640.0000
-19.5947,641.0000
15.5875,642.0000
15.1083,643.0000
13.3887,644.0000
-38.9493,645.0000
-18.1794,646.0000
-8.8008,647.0000
-38.6098,648.0000
7.1739,649.0000
-22.6307,650.0000
90.3025,651.0000
28.0943,652.0000
-50.1845,653.0000
-13.7722,654.0000
43.2588,655.0000
34.4684,656.0000
-36.7726,657.0000
-11.6659,658.0000
34.8330,659.0000
-55.5935,660.0000
17.9208,661.0000
52.0369,662.0000
-36.4196,663.0000
-36.7800,664.0000
-15.4512,665.0000
47.8534,666.0000
68.6806,667.0000
-20.8895,668.0000
-62.3534,669.0000
16.9515,670.0000
-13.7159,671.0000
-23.0904,672.0000
12.1748,673.0000
-27.4078,674.0000
-14.4044,675.0000
-78.1516,676.0000
-60.4365,677.0000
-46.3156,678.0000
-122.7992,679.0000
-21.1292,680.0000
23.5305,681.0000
-3.6447,682.0000
-8.9534,683.0000
-71.7148,684.0000
